locale,key,english_value
nl,decidim.proposals.admin.proposal_states.update.success,"en Status updated successfully"
nl,decidim.proposals.application_helper.filter_state_values.all,"en All"
nl,decidim.proposals.application_helper.filter_state_values.not_answered,"en Not answered"
nl,decidim.proposals.models.proposal_state.css_class,"en CSS class"
nl,decidim.proposals.models.proposal_state.title,"en Status"
nl,decidim.proposals.no_proposal_states,"en No statuses have been created yet."
nl,decidim.proposals.proposals.dynamic_map_instructions.description,"en The coordinates will be updated when clicking on 'preview' button. However, the address does not change."
nl,decidim.proposals.proposals.dynamic_map_instructions.instructions,"en You can move the point on the map."
nl,decidim.proposals.proposals.edit.add_documents,"en Add documents"
nl,decidim.proposals.proposals.edit.attachment_legend,"en (Optional) Add an attachment"
nl,decidim.proposals.proposals.edit.edit_documents,"en Edit documents"
nl,decidim.proposals.proposals.edit.select_a_category,"en Please select a category"
nl,decidim.proposals.proposals.edit_form_fields.marker_added,"en Marker added to the map."
nl,decidim.proposals.proposals.placeholder.address,"en 37 Homewood Drive Brownsburg, IN 46112"
nl,decidim.system.organizations.omniauth_settings.france_connect.acr_values,"en ACR values"
nl,decidim.system.organizations.omniauth_settings.france_connect.client_options_identifier,"en Client identifier"
nl,decidim.system.organizations.omniauth_settings.france_connect.client_options_redirect_uri,"en Redirect URI (e.g. https://my-decidim.com/users/auth/openid_connect/callback)"
nl,decidim.system.organizations.omniauth_settings.france_connect.client_options_secret,"en Client secret"
nl,decidim.system.organizations.omniauth_settings.france_connect.client_signing_alg,"en Client signing algorithm (e.g. RS256, ES256, PS256 ...)"
nl,decidim.system.organizations.omniauth_settings.france_connect.display_name,"en Display name"
nl,decidim.system.organizations.omniauth_settings.france_connect.icon_hover_path,"en Icon path for hover state (e.g. /media/images/oidc_hover.png)"
nl,decidim.system.organizations.omniauth_settings.france_connect.issuer,"en Issuer URL (e.g. https://identity.com)"
nl,decidim.system.organizations.omniauth_settings.france_connect.logout_path,"en Logout path (path after ""/users/auth/openid_connect"")"
nl,decidim.system.organizations.omniauth_settings.france_connect.logout_policy,"en Logout policy (none/session.destroy)"
nl,decidim.system.organizations.omniauth_settings.france_connect.post_logout_redirect_uri,"en Post logout redirect URI (e.g. https://my-decidim.com/users/auth/openid_connect/logout)"
nl,decidim.system.organizations.omniauth_settings.openid_connect.acr_values,"en ACR values"
nl,decidim.system.organizations.omniauth_settings.openid_connect.client_auth_method,"en Client authentication method (e.g. basic, jwt_bearer, mtls ...)"
nl,decidim.system.organizations.omniauth_settings.openid_connect.client_signing_alg,"en Client signing algorithm (e.g. RS256, ES256, PS256 ...)"
nl,decidim.system.organizations.omniauth_settings.openid_connect.display_name,"en Display name"
nl,layouts.decidim.budgets.voting_menubar.cancel_voting,"en Exit voting booth"
nl,layouts.decidim.footer.help,"en Help"
