locale,key,english_value
sk,decidim.participatory_processes.create_initiative.fill_data.back,"en Back"
sk,decidim.participatory_processes.create_initiative.fill_data.continue,"en Continue"
sk,decidim.participatory_processes.create_initiative.fill_data.fill_data_help,"en <ul> <li>Review the content of your initiative. Is your title easy to understand? Is the objective of your initiative clear?</li> <li>You have to choose the type of signature. In-person, online or a combination of both</li> <li>Which is the geographic scope of the initiative?</li> </ul>"
sk,decidim.participatory_processes.create_initiative.fill_data.more_information,"en (More information)"
sk,decidim.participatory_processes.create_initiative.fill_data.select_area,"en Select an area"
sk,decidim.participatory_processes.create_initiative.fill_data.select_scope,"en Select a scope"
sk,decidim.participatory_processes.create_initiative.select_initiative_type.new,"en Create a new initiative"
sk,decidim.participatory_processes.form.add_documents,"en Add documents"
sk,decidim.participatory_processes.form.add_image,"en Add image"
sk,decidim.participatory_processes.form.attachment_legend,"en (Optional) Add an attachment"
sk,decidim.participatory_processes.form.edit_documents,"en Edit documents"
sk,decidim.participatory_processes.form.edit_image,"en Edit image"
sk,decidim.participatory_processes.form.image_legend,"en (Optional) Add an image"
sk,decidim.participatory_processes.show.related_processes,"en Related processes"
sk,decidim.profiles.show.activity,"en Activity"
sk,decidim.proposals.actions.delete_proposal_state_confirm,"en Are you sure you want to delete this state?"
sk,decidim.proposals.actions.destroy,"en Delete state"
sk,decidim.proposals.actions.edit_proposal_state,"en Edit state"
sk,decidim.proposals.actions.new_proposal_state,"en New status"
sk,decidim.proposals.actions.title,"en Actions"
sk,decidim.proposals.admin.proposal_states.index.title,"en Statuses"
sk,decidim.proposals.admin.proposal_states.update.error,"en Error updating status"
sk,decidim.proposals.admin.proposal_states.update.success,"en Status updated successfully"
sk,decidim.proposals.application_helper.filter_state_values.all,"en All"
sk,decidim.proposals.application_helper.filter_state_values.not_answered,"en Not answered"
sk,decidim.proposals.models.proposal_state.css_class,"en CSS class"
sk,decidim.proposals.models.proposal_state.title,"en Status"
sk,decidim.proposals.no_proposal_states,"en No statuses have been created yet."
sk,decidim.proposals.proposals.dynamic_map_instructions.description,"en The coordinates will be updated when clicking on 'preview' button. However, the address does not change."
sk,decidim.proposals.proposals.dynamic_map_instructions.instructions,"en You can move the point on the map."
sk,decidim.proposals.proposals.edit.add_documents,"en Add documents"
sk,decidim.proposals.proposals.edit.attachment_legend,"en (Optional) Add an attachment"
sk,decidim.proposals.proposals.edit.edit_documents,"en Edit documents"
sk,decidim.proposals.proposals.edit.select_a_category,"en Please select a category"
sk,decidim.proposals.proposals.edit_form_fields.marker_added,"en Marker added to the map."
sk,decidim.proposals.proposals.placeholder.address,"en 37 Homewood Drive Brownsburg, IN 46112"
sk,decidim.scopes.global,"en Global scope"
sk,decidim.system.organizations.omniauth_settings.cultuur_connect.client_id,"en Client ID"
sk,decidim.system.organizations.omniauth_settings.cultuur_connect.client_secret,"en Client secret"
sk,decidim.system.organizations.omniauth_settings.cultuur_connect.site_url,"en Site URL"
sk,decidim.system.organizations.omniauth_settings.france_connect.acr_values,"en ACR values"
sk,decidim.system.organizations.omniauth_settings.france_connect.client_options_identifier,"en Client identifier"
sk,decidim.system.organizations.omniauth_settings.france_connect.client_options_redirect_uri,"en Redirect URI (e.g. https://my-decidim.com/users/auth/openid_connect/callback)"
sk,decidim.system.organizations.omniauth_settings.france_connect.client_options_secret,"en Client secret"
sk,decidim.system.organizations.omniauth_settings.france_connect.client_signing_alg,"en Client signing algorithm (e.g. RS256, ES256, PS256 ...)"
sk,decidim.system.organizations.omniauth_settings.france_connect.display_name,"en Display name"
sk,decidim.system.organizations.omniauth_settings.france_connect.icon_hover_path,"en Icon path for hover state (e.g. /media/images/oidc_hover.png)"
sk,decidim.system.organizations.omniauth_settings.france_connect.issuer,"en Issuer URL (e.g. https://identity.com)"
sk,decidim.system.organizations.omniauth_settings.france_connect.logout_path,"en Logout path (path after ""/users/auth/openid_connect"")"
sk,decidim.system.organizations.omniauth_settings.france_connect.logout_policy,"en Logout policy (none/session.destroy)"
sk,decidim.system.organizations.omniauth_settings.france_connect.post_logout_redirect_uri,"en Post logout redirect URI (e.g. https://my-decidim.com/users/auth/openid_connect/logout)"
sk,decidim.system.organizations.omniauth_settings.france_connect.scope,"en Scope / Claims (e.g. openid email profile)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.acr_values,"en ACR values"
sk,decidim.system.organizations.omniauth_settings.openid_connect.client_auth_method,"en Client authentication method (e.g. basic, jwt_bearer, mtls ...)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.client_options_identifier,"en Client identifier"
sk,decidim.system.organizations.omniauth_settings.openid_connect.client_options_redirect_uri,"en Redirect URI (e.g. https://my-decidim.com/users/auth/openid_connect/callback)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.client_options_secret,"en Client secret"
sk,decidim.system.organizations.omniauth_settings.openid_connect.client_signing_alg,"en Client signing algorithm (e.g. RS256, ES256, PS256 ...)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.discovery,"en Discovery (true or false)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.display_name,"en Display name"
sk,decidim.system.organizations.omniauth_settings.openid_connect.issuer,"en Issuer URL (e.g. https://identity.com)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.logout_path,"en Logout path (path after ""/users/auth/openid_connect"")"
sk,decidim.system.organizations.omniauth_settings.openid_connect.logout_policy,"en Logout policy (none/session.destroy)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.post_logout_redirect_uri,"en Post logout redirect URI (e.g. https://my-decidim.com/users/auth/openid_connect/logout)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.response_type,"en Response type (code or id_token)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.scope,"en Scope / Claims (e.g. openid email profile)"
sk,decidim.system.organizations.omniauth_settings.openid_connect.uid_field,"en UID field (e.g. sub, email, username)"
sk,decidim.system.organizations.omniauth_settings.publik.client_id,"en Client ID"
sk,decidim.system.organizations.omniauth_settings.publik.client_secret,"en Client secret"
sk,decidim.system.organizations.omniauth_settings.publik.site_url,"en Site URL"
sk,decidim.verifications.authorizations.first_login.actions.osp_authorization_handler,"en Verify with the identity verification form"
sk,decidim.verifications.authorizations.first_login.actions.osp_authorization_workflow,"en Verify with the identity verification form"
sk,layouts.decidim.budgets.voting_menubar.cancel_voting,"en Exit voting booth"
sk,layouts.decidim.footer.help,"en Help"
